"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,443.385,no data,no data,no data,no data,no data,no data,no data
Albania,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4525.887,5257.714,5345.058,5278.986,6259.762,6657.637,8057.49,8877.337,9280.572,9818.569,10470.18,11187.728
Algeria,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.386,2636.479,3141.027,3508.959,3986.564,4943.502,3890.524,4480.719,5447.6,5575.653,5477.055,5466.329,4153.322,3918.941,4014.707,4106.997,3953.402,3321.601,3659.709,4306.82,4874.706,5130.36,5243.056,5335.671,5355.284,5365.19
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41806.876,41084.874,44107.317,45642.103,46215.307,46546.578,46713.341,46920.949
Angola,802.627,731.427,712.576,723.654,747.325,817.068,743.735,828.958,875.526,991.295,1062.788,996.472,743.754,522.991,368.84,445.424,555.75,631.28,517.868,474.186,681.129,645.145,872.658,982.806,1254.696,1900.724,2597.964,3121.349,4081.718,3123.699,3586.664,4608.155,5083.827,5228.511,5371.217,4130.93,3468.518,4039.3,3240.858,2612.246,1709.283,2169.648,3438.147,2550.001,2452.737,2483.027,2507.49,2570.826,2622.394
Antigua and Barbuda,1920.249,2177.087,2448.585,2752.968,3200.985,3763.974,4617.61,5455.264,6547.259,7273.247,7623.434,7927.588,8084.427,8474.038,9097.243,8675.237,9266.473,9678.32,10074.75,10349.52,10931.312,10411.422,10485.776,10921.845,11613.334,12785.872,14317.674,16060.877,16574.257,14688.677,13574.44,13295.364,13825.317,13414.902,13980.61,14728.706,15588.535,15686.747,16889.792,17370.041,14468.071,15709.338,17441.463,19068.279,20405.877,21485.826,22250.67,23041.478,23862.682
Argentina,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,10054.023,8571.937,10631.665,13619.875,13297.425,13394.339,13330.463,13704.371,14288.019,14813.269
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4195.963,4596.861,4268.55,4679.46,6587.219,8283.119,9090.707,9785.538,10488.266,11248.191,12062.817
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16548.717,16620.854,17750.489,18825.012,19215.013,20681.137,20740.206,21307.261,21949.392,23700.571,24171.995,24845.66,26736.575,28172.075,25134.689,24093.087,25712.454,25119.736,25813.523,26129.727,27458.227,27441.582,28440.093,30082.212,31096.315,23565.55,28813.136,33032.454,35717.948,36958.639,38197.67,39449.907,40754.664,42117.086
Australia,11009.179,12530.324,12236.639,11593.755,12576.995,10969.258,11246.926,13000.587,16248.459,18206.567,18875.216,18670.239,18117.464,17456.131,19748.718,20920.344,23168.871,23037.392,20388.811,21762.294,20895.367,19486.698,21692.196,27288.855,32852.825,36232.385,37948.951,45180.943,49194.235,45770.392,56577.949,67270.22,68449.591,65200.823,61616.044,51412.407,51815.345,55804.163,56352.938,54289.066,53094.491,63841.724,64813.854,63487.049,62596.271,65317.386,67798.39,70227.696,72668.724
